colID,logFC,fracExprIN,fracExprOUT,rank.sum,p.value,cluster,gene
14,26,2.1211182647601,1,0.985074626865672,82127,8.84261962986475e-32,1,Fam107b
360,610,4.05416956379552,0.882783882783883,0.681592039800995,82040,9.98056974434068e-32,1,Mfge8
226,377,7.12719986905965,0.805860805860806,0.497512437810945,81792.5,1.18060891509957e-31,1,Cyth4
2451,4166,6.63884628588174,0.791208791208791,0.482587064676617,81694,1.85571842058249e-31,1,Ablim1
1894,3194,3.75371653654215,0.893772893772894,0.716417910447761,81967.5,2.09832278121077e-31,1,Fchsd2
1169,2025,4.89563921235818,0.915750915750916,0.82089552238806,81974,2.62926358920426e-31,1,Ptpn22
392,653,3.66749766785702,0.974358974358974,0.920398009950249,81983,2.77018745293532e-31,1,Oasl2
414,688,5.05746622400888,0.897435897435897,0.746268656716418,81926,3.20359141483215e-31,1,Dusp2
622,1048,5.96403111915788,0.802197802197802,0.477611940298507,81600,4.40407885866819e-31,1,Krt18
2178,3675,4.92685555816615,0.838827838827839,0.626865671641791,81789,4.43406610825862e-31,1,Afap1l1
1692,2862,7.03753827698376,0.750915750915751,0.407960199004975,81331,7.28621075042066e-31,1,Gimap1os
2258,3815,4.90975930327077,0.985347985347985,0.975124378109453,81850,8.00179640928588e-31,1,Lpp
2541,4342,3.03833273591436,0.952380952380952,0.920398009950249,81722,2.15674867214704e-30,1,Stat3
1961,3298,2.78981501460976,0.970695970695971,0.890547263681592,81679,3.01440712004069e-30,1,Mn1
1211,2096,2.26328737396527,0.970695970695971,0.930348258706468,81679,3.04500377990714e-30,1,Uba7
753,1284,7.93302864964496,0.765567765567766,0.442786069651741,81192,4.58483078190586e-30,1,Esam
1400,2406,2.44161327802702,0.989010989010989,0.940298507462687,81537,9.23240679659929e-30,1,Gramd1a
1587,2718,3.60646960245112,0.882783882783883,0.711442786069652,81412,1.56489752317594e-29,1,Ifi44
691,1174,6.95066946614983,0.831501831501832,0.562189054726368,81241,2.12215241117281e-29,1,Emcn
498,833,5.29326716728033,0.875457875457875,0.781094527363184,81299,4.35663012746005e-29,1,P2ry14
779,1323,2.63443651594995,0.923076923076923,0.776119402985075,81303.5,4.70411499326112e-29,1,Neat1
1742,2948,4.29547010847779,0.875457875457875,0.63681592039801,81229,4.76488565814761e-29,1,Plekha2
293,497,7.89446770562775,0.725274725274725,0.368159203980099,80658.5,5.35959368520119e-29,1,Ccl4
1043,1811,4.90434968951523,0.926739926739927,0.81592039800995,81286,5.71442269554967e-29,1,Rgs2
927,1571,2.39623461182173,0.985347985347985,0.950248756218905,81270,7.19046677618827e-29,1,Ptpre
2048,3439,2.87330472152764,0.897435897435897,0.691542288557214,81210,7.40705461543123e-29,1,Calcrl
604,1018,7.41270871417012,0.717948717948718,0.338308457711443,80410.5,2.00456264078521e-28,1,Tie1
1421,2449,7.77725104846242,0.695970695970696,0.298507462686567,80202.5,2.95878942269702e-28,1,Trpc6
477,793,1.71112621296819,0.989010989010989,0.990049751243781,81047,3.89910121732192e-28,1,Saraf
2608,4453,3.21887114900735,0.919413919413919,0.81592039800995,80952,7.07840178101377e-28,1,Cd9
2394,4045,6.15957129920439,0.864468864468865,0.716417910447761,80791.5,1.65065902129864e-27,1,Trp53i11
1360,2339,6.33141305308274,0.846153846153846,0.641791044776119,80733,1.76945065177656e-27,1,Gm1966
366,616,8.05957236357718,0.622710622710623,0.174129353233831,79270,2.42026102617661e-27,1,Ndn
422,704,3.38837956409059,0.95970695970696,0.90547263681592,80767.5,3.09012338929596e-27,1,Klf6
2597,4439,6.82398986160539,0.80952380952381,0.606965174129353,80566,3.99750896292777e-27,1,Serpinf1
680,1153,6.89891387317416,0.868131868131868,0.686567164179104,80644,4.57112618518074e-27,1,Tnfrsf13b
1517,2599,6.47277429715531,0.893772893772894,0.721393034825871,80587,8.47090479991778e-27,1,Csf3r
1155,2003,5.22666528048462,0.853479853479853,0.676616915422886,80507,1.13335879385791e-26,1,Anxa1
1103,1919,6.93460551312253,0.824175824175824,0.626865671641791,80419,1.47361317090974e-26,1,Pcp4l1
2677,4581,5.50330809695849,0.805860805860806,0.587064676616915,80351.5,1.69161902646298e-26,1,Ptgs1
2485,4234,2.14204759253975,0.996336996336996,0.985074626865672,80517.5,1.96430960080735e-26,1,Ighm
1983,3335,2.50131329982649,0.967032967032967,0.945273631840796,80452.5,3.1369752585753e-26,1,Exoc6b
2437,4139,4.88917422496594,0.956043956043956,0.741293532338308,80409,3.75699867157436e-26,1,Fos
28,47,4.67456125709473,0.868131868131868,0.716417910447761,80345,4.47935959461865e-26,1,Lppr3
1940,3263,7.39644528214718,0.706959706959707,0.388059701492537,79739,6.0991431403651e-26,1,F11r
1165,2020,1.68545154526886,0.978021978021978,0.995024875621891,80359,6.19268929678288e-26,1,Tspan3
2447,4159,4.8388106015178,0.864468864468865,0.746268656716418,80275.5,7.90499922851865e-26,1,Rnf122
1082,1879,6.94364816861298,0.652014652014652,0.258706467661692,79206.5,9.49237103147494e-26,1,Cyp2j9
449,750,2.15439355332882,0.992673992673993,0.980099502487562,80298,9.60555083992763e-26,1,Sash3
295,499,6.54185668130901,0.835164835164835,0.671641791044776,80172,1.1625869718486e-25,1,Myo1g
1848,3129,3.50747791575703,0.901098901098901,0.701492537313433,80216,1.2281261542235e-25,1,Camk1
2390,4040,2.79924216412368,0.886446886446886,0.63681592039801,80151.5,1.53048872785504e-25,1,Pqlc3
2277,3857,4.33054200327524,0.798534798534799,0.567164179104478,79993.5,1.91789510849762e-25,1,Nbeal2
1049,1823,6.50338859607868,0.80952380952381,0.572139303482587,80002,2.04215711686775e-25,1,Parp8
2144,3611,7.65928272261962,0.732600732600733,0.472636815920398,79756,2.32096372398554e-25,1,Mmrn1
1317,2273,2.60713664506037,0.956043956043956,0.860696517412935,80165,2.40642165988155e-25,1,Lrrfip1
